TSNE_1,TSNE_2
-54.959873,-2.7115517
-44.889877,-0.9360298
9.443079,31.766085
19.759045,-32.527313
1.5223486,17.981829
11.855925,-56.64296
-45.013527,-0.92764145
30.638405,43.619274
33.6119,-42.806267
49.424526,-34.277885
35.44039,7.923924
35.586517,7.693639
-16.824574,33.156185
-34.22835,-2.2422998
-32.637413,17.2238
46.075706,-16.607754
39.744503,-42.67602
-17.006184,58.511295
21.419188,22.370604
6.3938737,51.202454
0.81959397,-70.64148
9.058313,32.199337
-60.658157,-11.335446
10.705714,6.245346
-9.502696,9.747878
10.892747,-53.5608
59.13567,15.029177
29.685614,-40.939415
54.68919,22.366943
58.81689,-5.726576
35.666683,7.5624638
-17.560574,58.772106
2.8598886,4.0759134
13.916419,51.110218
6.681964,51.211723
-34.163834,55.842884
-15.905192,57.932865
-22.735914,35.432785
-20.528831,-37.28508
6.1003075,36.793056
-37.51805,-32.62913
-8.978199,-42.021736
5.2859898,-21.181719
-3.4932349,51.828533
-59.941666,-7.908422
-36.30131,-30.017847
14.203395,-29.39662
33.570236,10.741963
20.16721,-32.781754
12.371523,28.931702
38.335865,37.137375
-60.666466,-10.631318
21.523977,-13.218218
48.538395,-20.270334
-1.0213735,-3.6914465
-59.14488,18.660273
58.27391,17.66164
-33.82688,35.69664
22.189434,-13.262387
3.0737884,5.1561832
-60.402668,-13.054947
-38.164776,-40.672993
6.3517437,-48.7422
8.402416,-50.42127
2.7229133,14.981123
-12.931368,-68.82592
11.229159,-27.493408
50.971004,25.732964
-29.2531,59.2563
23.300806,-35.153973
-3.1284115,-6.0232396
7.2992587,77.58285
-11.5853815,-41.003925
-10.059299,54.44008
-58.51158,-5.649939
2.5727706,70.37618
1.8112845,-16.569817
-7.4490438,-11.321259
-4.1769614,51.99916
2.0964024,64.20038
-27.582714,-2.9961665
