Songs,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hot/not_hot
Get Him Back!,Olivia Rodrigo,['22WrpYvNFAcdSEAZeaVPm6'],0.19,0.0674,9,-21.858,1,0.0342,0.981,0.84,0.0972,0.151,176.342,audio_features,22WrpYvNFAcdSEAZeaVPm6,spotify:track:22WrpYvNFAcdSEAZeaVPm6,https://api.spotify.com/v1/tracks/22WrpYvNFAcdSEAZeaVPm6,https://api.spotify.com/v1/audio-analysis/22WrpYvNFAcdSEAZeaVPm6,198455,4,H
I Know ?,Travis Scott,['27GmP9AWRs744SzKcpJsTZ'],0.852,0.553,1,-7.286,1,0.187,0.0559,0.0,0.332,0.656,142.079,audio_features,27GmP9AWRs744SzKcpJsTZ,spotify:track:27GmP9AWRs744SzKcpJsTZ,https://api.spotify.com/v1/tracks/27GmP9AWRs744SzKcpJsTZ,https://api.spotify.com/v1/audio-analysis/27GmP9AWRs744SzKcpJsTZ,205879,4,H
Good Good,"Usher, Summer Walker & 21 Savage",['0ubl4gpohoq5KcQiqI5lUe'],0.88,0.485,7,-8.634,1,0.279,0.135,6.67e-06,0.0844,0.736,97.011,audio_features,0ubl4gpohoq5KcQiqI5lUe,spotify:track:0ubl4gpohoq5KcQiqI5lUe,https://api.spotify.com/v1/tracks/0ubl4gpohoq5KcQiqI5lUe,https://api.spotify.com/v1/audio-analysis/0ubl4gpohoq5KcQiqI5lUe,117573,4,H
Daylight,David Kushner,['3UE72fzdPM42NmYUV0L5KO'],0.651,0.338,11,-11.509,0,0.0442,0.0851,0.822,0.114,0.286,105.776,audio_features,3UE72fzdPM42NmYUV0L5KO,spotify:track:3UE72fzdPM42NmYUV0L5KO,https://api.spotify.com/v1/tracks/3UE72fzdPM42NmYUV0L5KO,https://api.spotify.com/v1/audio-analysis/3UE72fzdPM42NmYUV0L5KO,304533,4,H
Peaches & Eggplants,Young Nudy Featuring 21 Savage,['1KUZ33cOqk3X4Ezk0aZnVp'],0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,audio_features,1KUZ33cOqk3X4Ezk0aZnVp,spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,https://api.spotify.com/v1/tracks/1KUZ33cOqk3X4Ezk0aZnVp,https://api.spotify.com/v1/audio-analysis/1KUZ33cOqk3X4Ezk0aZnVp,203813,4,H
Try That In A Small Town,Jason Aldean,['4ROknQyR1wOGPfmpTtB3z4'],0.459,0.861,0,-3.762,0,0.0529,0.0474,5.38e-06,0.107,0.333,145.842,audio_features,4ROknQyR1wOGPfmpTtB3z4,spotify:track:4ROknQyR1wOGPfmpTtB3z4,https://api.spotify.com/v1/tracks/4ROknQyR1wOGPfmpTtB3z4,https://api.spotify.com/v1/audio-analysis/4ROknQyR1wOGPfmpTtB3z4,180034,4,H
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",['4AisLythGf0KyprOUM7wQz'],0.642,0.674,7,-10.945,1,0.0285,0.00107,0.0775,0.205,0.351,98.997,audio_features,4AisLythGf0KyprOUM7wQz,spotify:track:4AisLythGf0KyprOUM7wQz,https://api.spotify.com/v1/tracks/4AisLythGf0KyprOUM7wQz,https://api.spotify.com/v1/audio-analysis/4AisLythGf0KyprOUM7wQz,274000,4,H
Qlona,Karol G & Peso Pluma,['5RqSsdzTNPX1uzkmlHCFvK'],0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,audio_features,5RqSsdzTNPX1uzkmlHCFvK,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK,172798,4,H
Meltdown,Travis Scott Featuring Drake,['3P6abrNUuClpeOW60XiDF5'],0.453,0.987,11,-3.012,0,0.251,0.000164,0.0,0.0776,0.206,154.08,audio_features,3P6abrNUuClpeOW60XiDF5,spotify:track:3P6abrNUuClpeOW60XiDF5,https://api.spotify.com/v1/tracks/3P6abrNUuClpeOW60XiDF5,https://api.spotify.com/v1/audio-analysis/3P6abrNUuClpeOW60XiDF5,268919,4,H
Love You Anyway,Luke Combs,['0mkZ8ZEM2EyRgeL5t7IDmj'],0.585,0.474,7,-12.954,1,0.0294,0.209,0.258,0.126,0.365,97.022,audio_features,0mkZ8ZEM2EyRgeL5t7IDmj,spotify:track:0mkZ8ZEM2EyRgeL5t7IDmj,https://api.spotify.com/v1/tracks/0mkZ8ZEM2EyRgeL5t7IDmj,https://api.spotify.com/v1/audio-analysis/0mkZ8ZEM2EyRgeL5t7IDmj,239235,4,H
Bongos,Cardi B & Megan Thee Stallion,['5qivHfDEvKu8td9TFC2cqt'],0.475,0.574,7,-7.512,1,0.218,0.000791,0.81,0.067,0.194,158.689,audio_features,5qivHfDEvKu8td9TFC2cqt,spotify:track:5qivHfDEvKu8td9TFC2cqt,https://api.spotify.com/v1/tracks/5qivHfDEvKu8td9TFC2cqt,https://api.spotify.com/v1/audio-analysis/5qivHfDEvKu8td9TFC2cqt,175099,5,H
Deep Satin,Zach Bryan,['1u2Fe70Qm9VFCIMPWFlfc1'],0.509,0.697,9,-4.425,0,0.0304,0.12,0.0,0.134,0.37,75.216,audio_features,1u2Fe70Qm9VFCIMPWFlfc1,spotify:track:1u2Fe70Qm9VFCIMPWFlfc1,https://api.spotify.com/v1/tracks/1u2Fe70Qm9VFCIMPWFlfc1,https://api.spotify.com/v1/audio-analysis/1u2Fe70Qm9VFCIMPWFlfc1,211194,4,H
Boyz Don't Cry,Rod Wave,['2z2gqgwu1GCurpZJYzcytE'],0.741,0.509,10,-12.639,1,0.0532,0.0761,2.9e-06,0.114,0.345,152.078,audio_features,2z2gqgwu1GCurpZJYzcytE,spotify:track:2z2gqgwu1GCurpZJYzcytE,https://api.spotify.com/v1/tracks/2z2gqgwu1GCurpZJYzcytE,https://api.spotify.com/v1/audio-analysis/2z2gqgwu1GCurpZJYzcytE,202224,4,H
Save Me,Jelly Roll With Lainey Wilson,['2wDFRxShiM7iKxB2G4F8GJ'],0.598,0.702,8,-8.209,0,0.352,0.453,9.18e-06,0.113,0.768,120.13,audio_features,2wDFRxShiM7iKxB2G4F8GJ,spotify:track:2wDFRxShiM7iKxB2G4F8GJ,https://api.spotify.com/v1/tracks/2wDFRxShiM7iKxB2G4F8GJ,https://api.spotify.com/v1/audio-analysis/2wDFRxShiM7iKxB2G4F8GJ,193071,4,H
Come See Me,Rod Wave,['0sSngbRfbQ7RWc8dJVeluK'],0.46,0.134,6,-7.098,0,0.0707,0.225,9.01e-06,0.102,0.752,147.021,audio_features,0sSngbRfbQ7RWc8dJVeluK,spotify:track:0sSngbRfbQ7RWc8dJVeluK,https://api.spotify.com/v1/tracks/0sSngbRfbQ7RWc8dJVeluK,https://api.spotify.com/v1/audio-analysis/0sSngbRfbQ7RWc8dJVeluK,525057,4,H
Single Soon,Selena Gomez,['2Dssni6I8WhafJuuonrTzw'],0.488,0.534,9,-6.638,0,0.0519,0.204,0.0,0.0928,0.329,116.957,audio_features,2Dssni6I8WhafJuuonrTzw,spotify:track:2Dssni6I8WhafJuuonrTzw,https://api.spotify.com/v1/tracks/2Dssni6I8WhafJuuonrTzw,https://api.spotify.com/v1/audio-analysis/2Dssni6I8WhafJuuonrTzw,265453,4,H
Call Your Friends,Rod Wave,['3TitQ28R8JzLEaRUE6FSxC'],0.568,0.44,6,-16.372,0,0.0326,0.0039,1.23e-05,0.115,0.232,130.092,audio_features,3TitQ28R8JzLEaRUE6FSxC,spotify:track:3TitQ28R8JzLEaRUE6FSxC,https://api.spotify.com/v1/tracks/3TitQ28R8JzLEaRUE6FSxC,https://api.spotify.com/v1/audio-analysis/3TitQ28R8JzLEaRUE6FSxC,120885,4,H
Turks & Caicos,Rod Wave Featuring 21 Savage,['3kfhS2L56Wj8fBcu7xE47H'],0.544,0.496,0,-12.032,1,0.21,0.13,0.0,0.166,0.314,103.148,audio_features,3kfhS2L56Wj8fBcu7xE47H,spotify:track:3kfhS2L56Wj8fBcu7xE47H,https://api.spotify.com/v1/tracks/3kfhS2L56Wj8fBcu7xE47H,https://api.spotify.com/v1/audio-analysis/3kfhS2L56Wj8fBcu7xE47H,203442,5,H
Hey Driver,Zach Bryan Featuring The War And Treaty,['3HLhNt9i6UBAJP2HkIqWSg'],0.916,0.944,6,-6.784,1,0.279,0.0573,0.0,0.317,0.578,105.294,audio_features,3HLhNt9i6UBAJP2HkIqWSg,spotify:track:3HLhNt9i6UBAJP2HkIqWSg,https://api.spotify.com/v1/tracks/3HLhNt9i6UBAJP2HkIqWSg,https://api.spotify.com/v1/audio-analysis/3HLhNt9i6UBAJP2HkIqWSg,207552,4,H
Seven,Jung Kook Featuring Latto,['6TE5L8q1OIcKSOgo0oCUXF'],0.804,0.153,9,-20.697,0,0.197,0.191,0.88,0.111,0.793,82.41,audio_features,6TE5L8q1OIcKSOgo0oCUXF,spotify:track:6TE5L8q1OIcKSOgo0oCUXF,https://api.spotify.com/v1/tracks/6TE5L8q1OIcKSOgo0oCUXF,https://api.spotify.com/v1/audio-analysis/6TE5L8q1OIcKSOgo0oCUXF,33479,4,H
Nine Ball,Zach Bryan,['3xOi0YhDREKRURFHoNaAOQ'],0.597,0.658,7,-4.38,1,0.044,0.11,0.0,0.131,0.38,134.545,audio_features,3xOi0YhDREKRURFHoNaAOQ,spotify:track:3xOi0YhDREKRURFHoNaAOQ,https://api.spotify.com/v1/tracks/3xOi0YhDREKRURFHoNaAOQ,https://api.spotify.com/v1/audio-analysis/3xOi0YhDREKRURFHoNaAOQ,169941,4,H
El Jefe,Shakira X Fuerza Regida,['0YnFOMD0ZI8VHNq2fwUdHI'],0.841,0.943,6,-3.196,0,0.1,0.0281,0.03,0.353,0.889,127.99,audio_features,0YnFOMD0ZI8VHNq2fwUdHI,spotify:track:0YnFOMD0ZI8VHNq2fwUdHI,https://api.spotify.com/v1/tracks/0YnFOMD0ZI8VHNq2fwUdHI,https://api.spotify.com/v1/audio-analysis/0YnFOMD0ZI8VHNq2fwUdHI,289219,4,H
All-American Bitch,Olivia Rodrigo,['0k9kGwvEHiGLGKq6OE7TP2'],0.432,0.664,6,-4.274,1,0.0411,0.252,1.39e-06,0.172,0.37,156.448,audio_features,0k9kGwvEHiGLGKq6OE7TP2,spotify:track:0k9kGwvEHiGLGKq6OE7TP2,https://api.spotify.com/v1/tracks/0k9kGwvEHiGLGKq6OE7TP2,https://api.spotify.com/v1/audio-analysis/0k9kGwvEHiGLGKq6OE7TP2,165834,4,H
White Horse,Chris Stapleton,['7MSWxMumjz6lHj7oRApNbg'],0.353,0.77,1,-11.066,0,0.0493,0.0016,0.598,0.109,0.224,145.225,audio_features,7MSWxMumjz6lHj7oRApNbg,spotify:track:7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/tracks/7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/audio-analysis/7MSWxMumjz6lHj7oRApNbg,267893,4,H
Mi Ex Tenia Razon,Karol G,['54zcJnb3tp9c5OVKREZ1Is'],0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,audio_features,54zcJnb3tp9c5OVKREZ1Is,spotify:track:54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/audio-analysis/54zcJnb3tp9c5OVKREZ1Is,154375,4,H
